page_start,date_of_occurrence,time_of_occurrence,reason_for_force,service_rendered,citizen_injured,citizen_influence_assessment,officer_injured,citizen_race,citizen_gender,notes,officer_involved,name_badge_number,badge_number,force_used_1,force_used_1_effective,force_used_2,force_used_2_effective,force_used_3,force_used_3_effective,force_used_4,force_used_4_effective,force_used_5,force_used_5_effective,force_used_6,force_used_6_effective,force_used_7,force_used_7_effective,force_used_8,force_used_8_effective,officer_name,id
4059,2017-11-13T00:00:00Z,17:14:00,non-compliance,call for service,no,normal,no,white,male,NA,incident_officer_1,eugenio castaneda - 7944,7944,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eugenio castaneda,4059-2017-m
2681,2018-08-16T00:00:00Z,11:43:00,non-compliance,self initiated,yes,excited,no,hispanic,male,NA,incident_officer_2,eric mchuge - 7631,7631,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eric mchuge,2681-2018-m
2444,2018-07-20T00:00:00Z,02:38:00,effect an arrest,call for service,yes,alcohol impaired,yes,black,male,NA,incident_officer_1,seth brewer - 7465,7465,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,seth brewer,2444-2018-m
21,2019-01-02T00:00:00Z,14:38:00,resisting arrest,effecting an arrest,yes,excited,no,black,male,NA,incident_officer_1,dontae booker - 7350,7350,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dontae booker,21-2019-m
1010,2018-03-29T00:00:00Z,17:58:00,resisting arrest,call for service,yes,normal,yes,white,male,NA,incident_officer_2,alberto barajas valladares - 5011,5011,verbal directions,no,take down,yes,empty hand control yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alberto barajas valladares,1010-2018-m
592,2017-02-24T00:00:00Z,13:35:00,combative subject,call for service,no,drug impaired,no,white,male,NA,incident_officer_2,michael abernathy - 7212,7212,verbal directions,no,ecw stun feature,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,michael abernathy,592-2017-m
2065,2017-06-11T00:00:00Z,13:10:00,in defense of others,call for service,yes,other,no,black,male,NA,incident_officer_1,bradley lady - 7207,7207,verbal directions,no,take down,yes,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bradley lady,2065-2017-m
2518,2017-07-21T00:00:00Z,16:42:00,active aggression,call for service,yes,normal,no,hispanic,male,NA,incident_officer_2,charles roberts - 7373,7373,empty hand control,no,verbal directions,no,take down,yes,ecw stun feature,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,charles roberts,2518-2017-m
2177,2018-06-28T00:00:00Z,15:57:00,active aggression,call for service,yes,excited,yes,black,male,NA,incident_officer_3,bradley lady - 7207,7207,hobble,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bradley lady,2177-2018-m
3868,2018-12-07T00:00:00Z,09:30:00,effect an arrest,other,no,other,no,black,male,NA,incident_officer_1,robert kaelin - 2125,2125,other (in narrative),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert kaelin,3868-2018-m
1987,2017-06-07T00:00:00Z,02:25:00,resisting arrest,self initiated,yes,NA,yes,black,male,NA,incident_officer_4,jeremy wright - 7386,7386,de-escalation techniques,no,empty hand control,no,verbal directions,no,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,jeremy wright,1987-2017-m
3527,2018-11-07T00:00:00Z,01:40:00,active aggression,crime in progress,no,excited,yes,black,male,NA,incident_officer_5,tevor troutman - 5169,5169,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tevor troutman,3527-2018-m
97,2019-01-10T00:00:00Z,02:55:00,failure to comply,call for service,yes,drug impaired,no,white,male,NA,incident_officer_1,alexander dugan - 7430,7430,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alexander dugan,97-2019-m
892,2019-03-21T00:00:00Z,09:05:00,failure to comply,call for service,yes,emotionally disturbed,no,black,male,NA,incident_officer_2,daniel weedman - 7127,7127,knee strike(s),yes,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,daniel weedman,892-2019-m
1928,2019-07-21T00:00:00Z,16:18:00,effect an arrest,call for service,yes,normal,no,black,male,NA,incident_officer_1,joshua weyer - 7271,7271,empty hand control,yes,verbal directions,no,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joshua weyer,1928-2019-m
2277,2018-07-04T00:00:00Z,11:21:00,effect an arrest,call for service,yes,excited,no,white,male,NA,incident_officer_1,joseph berg - 7817,7817,oc spray,yes,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joseph berg,2277-2018-m
2880,2019-11-13T00:00:00Z,15:15:00,effect an arrest,vehicle pursuit,yes,excited,no,black,male,NA,incident_officer_4,timothy huber - 5118,5118,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,timothy huber,2880-2019-m
3701,2017-10-05T00:00:00Z,12:00:00,resisting arrest,call for service,yes,excited,no,black,male,NA,incident_officer_1,christopher maybody - 7261,7261,ecw stun feature,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher maybody,3701-2017-m
2380,2017-07-09T00:00:00Z,22:30:00,resisting arrest,call for service,yes,other,yes,white,male,NA,incident_officer_2,daniel day - 7352,7352,empty hand control,yes,de-escalation techniques,no,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,daniel day,2380-2017-m
1168,2017-04-15T00:00:00Z,23:50:00,resisting arrest,call for service,yes,excited,yes,black,male,NA,incident_officer_3,andrea anthony - 2905,2905,empty hand strikes,no,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,andrea anthony,1168-2017-m
780,2018-03-08T00:00:00Z,13:35:00,resisting arrest,call for service,yes,excited,yes,white,male,NA,incident_officer_2,bradley lady - 7207,7207,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bradley lady,780-2018-m
3520,2017-09-24T00:00:00Z,23:47:00,active aggression,call for service,yes,emotionally disturbed,no,black,male,NA,incident_officer_2,hunter powell - 7410,7410,verbal directions,no,ecw cartridge deployed,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hunter powell,3520-2017-m
3527,2018-11-07T00:00:00Z,01:40:00,active aggression,crime in progress,no,excited,yes,black,male,NA,incident_officer_2,bradley russell - 7264,7264,verbal directions,no,ecw cartridge deployed,no,impact weapon,no,ecw cartridge deployed,no,NA,NA,NA,NA,NA,NA,NA,NA,bradley russell,3527-2018-m
3803,2017-10-17T00:00:00Z,18:18:00,active aggression,effecting an arrest,no,alcohol and drug impaired,yes,white,male,NA,incident_officer_2,anthony scott - 2461,2461,verbal directions,no,empty hand control,no,de-escalation techniques,no,take down,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,anthony scott,3803-2017-m
2336,2017-07-03T00:00:00Z,19:20:00,effect an arrest,call for service,yes,NA,no,other,male,NA,incident_officer_1,michael phillips - 2086,2086,verbal directions,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,michael phillips,2336-2017-m
2924,2018-09-06T00:00:00Z,02:56:00,failure to comply,effecting an arrest,yes,excited,yes,black,male,Incident officer #2 did not use force against citizen,incident_officer_2,tyler blissett - 7390,7390,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tyler blissett,2924-2018-m
698,2017-03-05T00:00:00Z,00:57:00,active aggression,effecting an arrest,yes,alcohol impaired,no,white,male,NA,incident_officer_2,austin boone - 2280,2280,ecw stun feature,no,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,austin boone,698-2017-m
1152,2018-04-08T00:00:00Z,00:44:00,active aggression,effecting an arrest,no,excited,no,black,male,NA,incident_officer_1,percy minor - 7445,7445,empty hand strikes,yes,verbal directions,no,empty hand control,yes,de-escalation techniques,no,other (in narrative),no,NA,NA,NA,NA,NA,NA,percy minor,1152-2018-m
2900,2019-11-14T00:00:00Z,19:30:00,effect an arrest,call for service,yes,normal,yes,white,female,NA,incident_officer_2,davor kusec - 5037,5037,take down,yes,empty hand strikes,yes,verbal directions,no,empty hand control,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,davor kusec,2900-2019-m
2045,2017-06-11T00:00:00Z,00:50:00,active aggression,call for service,yes,emotionally disturbed,no,black,female,NA,incident_officer_1,christopher bond - 7391,7391,take down,yes,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher bond,2045-2017-m
2952,2018-09-09T00:00:00Z,04:30:00,effect an arrest,call for service,yes,excited,yes,black,male,NA,incident_officer_1,shannon parks - 7761,7761,de-escalation techniques,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shannon parks,2952-2018-m
152,2019-01-14T00:00:00Z,21:06:00,effect an arrest,call for service,yes,alcohol impaired,no,black,male,NA,incident_officer_2,joseph clarkson - 2775,2775,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joseph clarkson,152-2019-m
3876,2018-12-07T00:00:00Z,18:04:00,resisting arrest,call for service,no,excited,no,black,male,NA,incident_officer_2,michael rach - 7263,7263,empty hand control,yes,verbal directions,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,michael rach,3876-2018-m
2830,2017-08-08T00:00:00Z,23:17:00,assaulting officer,call for service,yes,drug impaired,no,black,male,NA,incident_officer_1,zachary prichard - 7218,7218,verbal directions,no,kick,yes,hobble,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,zachary prichard,2830-2017-m
525,2018-02-14T00:00:00Z,02:20:00,effect an arrest,call for service,yes,excited,no,black,male,NA,incident_officer_1,john kirk - 7929,7929,verbal directions,no,k-9 bite,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,john kirk,525-2018-m
3982,2017-11-02T00:00:00Z,20:41:00,effect an arrest,call for service,yes,normal,no,black,male,NA,incident_officer_2,robert andres - 7276,7276,verbal directions,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert andres,3982-2017-m
1279,2018-04-18T00:00:00Z,17:56:00,active aggression,call for service,no,normal,no,black,female,NA,incident_officer_4,joshua weyer - 7271,7271,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joshua weyer,1279-2018-m
291,2018-01-24T00:00:00Z,08:24:00,resisting arrest,call for service,yes,excited,no,white,male,NA,incident_officer_2,robert ross - 7495,7495,take down,no,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert ross,291-2018-m
4158,2018-12-25T00:00:00Z,02:13:00,active aggression,call for service,yes,alcohol impaired,no,black,male,NA,incident_officer_2,grant combs - 5059,5059,de-escalation techniques,yes,empty hand control,no,verbal directions,no,take down,yes,empty hand strikes,no,NA,NA,NA,NA,NA,NA,grant combs,4158-2018-m
923,2019-03-25T00:00:00Z,16:21:00,effect an arrest,crime in progress,yes,emotionally disturbed,no,white,male,NA,incident_officer_2,cory evans - 7241,7241,take down,yes,empty hand control,yes,verbal directions,no,hobble,yes,NA,NA,NA,NA,NA,NA,NA,NA,cory evans,923-2019-m
2880,2019-11-13T00:00:00Z,15:15:00,effect an arrest,vehicle pursuit,yes,excited,no,black,male,NA,incident_officer_5,cody luckett - 7363,7363,empty hand strikes,yes,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cody luckett,2880-2019-m
2473,2017-07-14T00:00:00Z,22:35:00,resisting arrest,call for service,yes,normal,no,black,male,NA,incident_officer_2,dontae booker - 7350,7350,empty hand control,no,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dontae booker,2473-2017-m
1306,2019-05-03T00:00:00Z,23:34:00,resisting arrest,criminal investigation,yes,other,yes,black,male,NA,incident_officer_1,michael wease - 7229,7229,empty hand strikes,yes,verbal directions,no,take down,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,michael wease,1306-2019-m
3543,2017-09-25T00:00:00Z,17:03:00,resisting arrest,call for service,yes,alcohol impaired,no,hispanic,male,NA,incident_officer_2,shay collins - 7170,7170,de-escalation techniques,yes,take down,yes,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,shay collins,3543-2017-m
4405,2017-12-13T00:00:00Z,15:51:00,resisting arrest,call for service,yes,other,no,black,male,NA,incident_officer_1,zachary haley - 7249,7249,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zachary haley,4405-2017-m
2550,2017-07-24T00:00:00Z,23:00:00,active aggression,call for service,yes,alcohol and drug impaired,no,asian,male,NA,incident_officer_1,navaro chandler - 7280,7280,empty hand control,no,empty hand strikes,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,navaro chandler,2550-2017-m
3931,2018-12-10T00:00:00Z,03:14:00,resisting arrest,self initiated,yes,excited,no,black,male,NA,incident_officer_2,noah straman - 5000,5000,de-escalation techniques,no,knee strike(s),no,come-along,no,verbal directions,no,take down,no,empty hand strikes,no,empty hand control,no,NA,NA,noah straman,3931-2018-m
2451,2019-09-18T00:00:00Z,00:45:00,failure to comply,interviewing citizen,yes,normal,no,black,male,NA,incident_officer_2,charles mathieson - 7487,7487,empty hand control,yes,verbal directions,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,charles mathieson,2451-2019-m
1446,2018-04-29T00:00:00Z,06:16:00,resisting arrest,call for service,no,drug impaired,no,white,male,NA,incident_officer_1,darrell wagner - 7321,7321,verbal directions,no,de-escalation techniques,no,take down,no,empty hand control,no,ecw cartridge deployed,no,NA,NA,NA,NA,NA,NA,darrell wagner,1446-2018-m
62,2018-01-06T00:00:00Z,14:00:00,escape,self initiated,yes,emotionally disturbed,no,white,male,NA,incident_officer_3,alexander marson - 7444,7444,verbal directions,no,empty hand control,yes,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alexander marson,62-2018-m
1372,2018-04-24T00:00:00Z,04:38:00,resisting arrest,traffic stop,yes,alcohol impaired,no,black,male,NA,incident_officer_3,jay dolak - 7429,7429,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jay dolak,1372-2018-m
538,2019-02-21T00:00:00Z,00:16:00,resisting arrest,call for service,yes,alcohol impaired,yes,white,male,NA,incident_officer_3,ryan banta - 7038,7038,empty hand control,no,empty hand strikes,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ryan banta,538-2019-m
11,2019-01-01T00:00:00Z,08:17:00,non-compliance,call for service,yes,NA,no,white,male,NA,incident_officer_2,austin faith - 5100,5100,verbal directions,no,empty hand strikes,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,austin faith,11-2019-m
3319,2018-10-19T00:00:00Z,19:26:00,combative subject,call for service,yes,emotionally disturbed,no,white,female,NA,incident_officer_2,donald miller - 5204,5204,empty hand control,yes,de-escalation techniques,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,donald miller,3319-2018-m
1814,2019-07-07T00:00:00Z,02:39:00,failure to comply,criminal investigation,yes,excited,no,black,male,NA,incident_officer_1,alexander dugan - 7430,7430,empty hand control,yes,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alexander dugan,1814-2019-m
2893,2018-09-03T00:00:00Z,18:40:00,active aggression,effecting an arrest,yes,excited,yes,black,male,NA,incident_officer_2,beau gadegaard - 7201,7201,verbal directions,yes,other (in narrative),yes,de-escalation techniques,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,beau gadegaard,2893-2018-m
1330,2017-04-26T00:00:00Z,21:45:00,effect an arrest,call for service,yes,alcohol and drug impaired,no,white,male,NA,incident_officer_2,christopher grossman - 7975,7975,oc spray,yes,verbal directions,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher grossman,1330-2017-m
2764,2019-10-24T00:00:00Z,18:20:00,resisting arrest,effecting an arrest,yes,other,no,white,male,NA,incident_officer_3,jeffrey mccauley - 7057,7057,empty hand control,no,verbal directions,no,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jeffrey mccauley,2764-2019-m
174,2018-01-18T00:00:00Z,NA,resisting arrest,effecting an arrest,no,normal,no,black,male,NA,incident_officer_2,tyler holland - 7949,7949,verbal directions,no,empty hand strikes,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tyler holland,174-2018-m
695,2018-02-27T00:00:00Z,17:36:00,resisting arrest,traffic stop,yes,drug impaired,no,other,male,NA,incident_officer_3,tyler holland - 7949,7949,empty hand control,no,verbal directions,no,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tyler holland,695-2018-m
2754,2019-10-24T00:00:00Z,17:14:00,active aggression,traffic stop,yes,alcohol and drug impaired,no,white,male,NA,incident_officer_1,timothy likins - 7288,7288,empty hand control,yes,verbal directions,no,empty hand strikes,no,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,timothy likins,2754-2019-m
843,2018-03-12T00:00:00Z,17:36:00,resisting arrest,call for service,no,alcohol impaired,no,black,female,NA,incident_officer_1,quinones corniel - 7470,7470,other (in narrative),yes,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,quinones corniel,843-2018-m
290,2017-01-30T00:00:00Z,19:30:00,effect an arrest,traffic stop,no,excited,no,black,male,NA,incident_officer_2,eric miller - 7020,7020,other (in narrative),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eric miller,290-2017-m
1947,2017-06-01T00:00:00Z,15:22:00,active aggression,call for service,no,emotionally disturbed,no,black,male,NA,incident_officer_2,adam key - 7336,7336,verbal directions,no,empty hand control,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,adam key,1947-2017-m
2204,2017-06-21T00:00:00Z,13:42:00,resisting arrest,warrant service,yes,excited,no,white,male,NA,incident_officer_2,christopher bruce - 6318,6318,de-escalation techniques,no,verbal directions,no,empty hand control,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,christopher bruce,2204-2017-m
1077,2017-04-10T00:00:00Z,00:40:00,effect an arrest,traffic stop,yes,excited,no,black,male,NA,incident_officer_1,hannah carroll - 7932,7932,verbal directions,no,ecw stun feature,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hannah carroll,1077-2017-m
499,2017-02-17T00:00:00Z,20:24:00,assaulting officer,field interview contact,yes,alcohol impaired,yes,black,male,NA,incident_officer_2,galen hinshaw - 7204,7204,empty hand strikes,yes,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,galen hinshaw,499-2017-m
2776,2017-08-06T00:00:00Z,03:40:00,effect an arrest,traffic stop,yes,alcohol impaired,no,hispanic,male,NA,incident_officer_1,joseph dudzinski - 7243,7243,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joseph dudzinski,2776-2017-m
214,2019-01-23T00:00:00Z,09:22:00,active aggression,call for service,yes,excited,no,white,female,NA,incident_officer_1,shaun sargent - 7266,7266,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shaun sargent,214-2019-m
2536,2019-09-30T00:00:00Z,22:27:00,other-explain in narrative,other,no,NA,no,NA,NA,"Incident officer #1 is involved citizen, deployed ecw cartridge by mistake",incident_officer_1,bailey mcintonsh - 5202,5202,ecw cartridge deployed,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bailey mcintonsh,2536-2019-m
2159,2017-06-16T00:00:00Z,22:40:00,suicide attempts,call for service,yes,emotionally disturbed,no,white,male,NA,incident_officer_3,joseph davis jr - 2259,2259,empty hand control,yes,verbal directions,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joseph davis jr,2159-2017-m
1699,2017-05-18T00:00:00Z,14:57:00,attempting escape,effecting an arrest,yes,excited,no,white,male,incident officer #2 is unknown,incident_officer_2,unknown,NA,hobble,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,1699-2017-m
2850,2017-08-09T00:00:00Z,16:28:00,effect an arrest,self initiated,yes,other,yes,black,male,NA,incident_officer_1,joseph howell - 7046,7046,verbal directions,no,empty hand strikes,no,take down,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,joseph howell,2850-2017-m
740,2017-03-09T00:00:00Z,21:49:00,effect an arrest,traffic stop,no,emotionally disturbed,no,white,male,NA,incident_officer_4,anthony james - 2522,2522,empty hand control,yes,verbal directions,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anthony james,740-2017-m
3731,2018-11-27T00:00:00Z,21:45:00,effect an arrest,effecting an arrest,yes,excited,no,black,male,NA,incident_officer_1,cole gibson - 7621,7621,take down,yes,empty hand control,no,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cole gibson,3731-2018-m
1372,2018-04-24T00:00:00Z,04:38:00,resisting arrest,traffic stop,yes,alcohol impaired,no,black,male,NA,incident_officer_4,christopher mostek - 7340,7340,take down,yes,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher mostek,1372-2018-m
3640,2017-10-01T00:00:00Z,01:28:00,resisting arrest,effecting an arrest,yes,alcohol impaired,no,white,male,NA,incident_officer_1,aaron thornton - 7320,7320,come-along,no,verbal directions,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aaron thornton,3640-2017-m
1449,2017-05-04T00:00:00Z,22:35:00,attempting escape,crime in progress,yes,normal,yes,black,male,NA,incident_officer_1,daniel day - 7352,7352,verbal directions,no,empty hand control,yes,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,daniel day,1449-2017-m
3297,2017-09-11T00:00:00Z,13:16:00,combative subject,call for service,yes,alcohol and drug impaired,no,white,female,NA,incident_officer_1,robert yoshioka - 7273,7273,verbal directions,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert yoshioka,3297-2017-m
52,2019-01-07T00:00:00Z,03:40:00,resisting arrest,self initiated,yes,drug impaired,no,black,male,NA,incident_officer_1,dwaine durrett - 7384,7384,verbal directions,no,take down,yes,empty hand control,yes,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,dwaine durrett,52-2019-m
2558,2018-08-05T00:00:00Z,21:22:00,other-explain in narrative,effecting an arrest,yes,drug impaired,no,white,male,NA,incident_officer_1,travis tracy - 7295,7295,verbal directions,no,other (in narrative),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,travis tracy,2558-2018-m
